QUERY,LABEL
How many female patients have had a heart attack?,COUNT
Give the number of people with diabetes who have suffered from a stroke.,COUNT
How many patients over age 65 have been diagnosed with cancer?,COUNT
How many patients with asthma have been hospitalized in the past year?,COUNT
Give the number of patients with a BMI over 30 who have been diagnosed with hypertension.,COUNT
How many patients with a history of smoking have been diagnosed with lung cancer?,COUNT
Give the number of patients with a family history of heart disease who have been diagnosed with high cholesterol.,COUNT
How many patients with a history of depression have been diagnosed with anxiety?,COUNT
Give the number of patients with a history of alcohol abuse who have been diagnosed with liver disease.,COUNT
How many patients with a history of drug abuse have been diagnosed with hepatitis C?,COUNT
Give the number of patients with a history of HIV who have been diagnosed with tuberculosis.,COUNT
How many patients with a history of migraines have been diagnosed with epilepsy?,COUNT
Give the number of patients with a history of osteoporosis who have suffered a bone fracture in the past year.,COUNT
How many patients with a history of arthritis have undergone joint replacement surgery?,COUNT
Give the number of patients with a history of glaucoma who have undergone cataract surgery.,COUNT
How many patients with a history of allergies have been prescribed an EpiPen?,COUNT
Give the number of patients with a history of psoriasis who have been diagnosed with psoriatic arthritis.,COUNT
How many patients with a history of lupus have been diagnosed with kidney disease?,COUNT
Give the number of patients with a history of Crohn's disease who have been diagnosed with colon cancer.,COUNT
How many patients with a history of ulcerative colitis have undergone colectomy surgery?,COUNT
Give the number of patients with a history of multiple sclerosis who have been diagnosed with depression.,COUNT
How many patients with a history of Parkinson's disease have been diagnosed with dementia?,COUNT
Give the number of patients with a history of bipolar disorder who have been diagnosed with schizophrenia.,COUNT
How many patients with a history of anxiety have been diagnosed with panic disorder?,COUNT
Give the number of patients with a history of ADHD who have been diagnosed with autism.,COUNT
How many patients with a history of sleep apnea have been prescribed a CPAP machine?,COUNT
Give the number of patients with a history of chronic pain who have been diagnosed with fibromyalgia.,COUNT
How many patients with a history of chronic fatigue syndrome have been diagnosed with depression?,COUNT
Give the number of patients with a history of traumatic brain injury who have been diagnosed with post-traumatic stress disorder.,COUNT
How many patients with a history of anorexia nervosa have been diagnosed with bulimia nervosa?,COUNT
Give the number of patients with a history of substance abuse who have been diagnosed with an eating disorder.,COUNT
How many patients with a history of self-harm have been diagnosed with borderline personality disorder?,COUNT
Give the number of patients with a history of schizophrenia who have been diagnosed with bipolar disorder.,COUNT
How many patients with a history of substance abuse have been diagnosed with major depressive disorder?,COUNT
Give the number of patients with a history of anxiety who have been diagnosed with generalized anxiety disorder.,COUNT
How many patients with a history of chronic pain have been diagnosed with complex regional pain syndrome?,COUNT
Give the number of patients with a history of panic disorder who have been diagnosed with agoraphobia.,COUNT
How many patients with a history of alcoholism have been diagnosed with alcoholic liver disease?,COUNT
How many patients with a history of smoking have been diagnosed with emphysema?,COUNT
Give the number of patients with a history of alcohol abuse who have been diagnosed with pancreatitis.,COUNT
How many patients with a history of drug abuse have been diagnosed with HIV?,COUNT
Give the number of patients with a history of depression who have attempted suicide.,COUNT
How many patients with a history of anxiety have been diagnosed with obsessive-compulsive disorder?,COUNT
Give the number of patients with a history of ADHD who have been diagnosed with oppositional defiant disorder.,COUNT
How many patients with a history of bipolar disorder have been hospitalized for mania?,COUNT
Give the number of patients with a history of schizophrenia who have been diagnosed with delusional disorder.,COUNT
How many patients with a history of substance abuse have been diagnosed with polysubstance abuse?,COUNT
Give the number of patients with a history of PTSD who have been diagnosed with acute stress disorder.,COUNT
How many patients with a history of migraines have been prescribed triptan medications?,COUNT
