QUERY,LABEL
Show me the age wise percentage of people who suffered a stroke,ANALYTICS
What is the gender-wise distribution of stroke cases?,ANALYTICS
What is the most common age range for stroke cases?,ANALYTICS
How does the prevalence of stroke differ across different races and ethnicities?,ANALYTICS
Is there a significant difference in the prevalence of stroke between men and women?,ANALYTICS
What is the percentage of stroke cases in people over the age of 65?,ANALYTICS
How does the incidence of stroke change with age?,ANALYTICS
What is the prevalence of stroke in people under the age of 50?,ANALYTICS
How does the prevalence of stroke vary by geographic region?,ANALYTICS
What percentage of stroke cases occur in people under the age of 40?,ANALYTICS
How does the incidence of stroke differ between urban and rural areas?,ANALYTICS
What is the percentage of people who suffer from recurrent stroke?,ANALYTICS
What is the average age of people who have had a stroke?,ANALYTICS
What is the prevalence of stroke in people with a family history of stroke?,ANALYTICS
What is the percentage of stroke cases in people with a history of smoking?,ANALYTICS
How does the prevalence of stroke vary with socioeconomic status?,ANALYTICS
What is the percentage of stroke cases in people with high blood pressure?,ANALYTICS
How does the prevalence of stroke differ between people with and without diabetes?,ANALYTICS
What is the percentage of stroke cases in people with high cholesterol?,ANALYTICS
How does the prevalence of stroke vary by occupation?,ANALYTICS
What is the percentage of stroke cases in people with a history of heart disease?,ANALYTICS
How does the incidence of stroke change with the level of physical activity?,ANALYTICS
What is the percentage of stroke cases in people with a history of alcohol abuse?,ANALYTICS
How does the prevalence of stroke vary with the level of education?,ANALYTICS
What is the percentage of stroke cases in people with sleep apnea?,ANALYTICS
How does the prevalence of stroke differ between people who are overweight and those who are not?,ANALYTICS
What is the percentage of stroke cases in people with a history of migraine headaches?,ANALYTICS
How does the incidence of stroke change with the level of stress?,ANALYTICS
What is the percentage of stroke cases in people with a history of drug abuse?,ANALYTICS
How does the prevalence of stroke vary by marital status?,ANALYTICS
What is the percentage of stroke cases in people with a history of depression?,ANALYTICS
How does the incidence of stroke change with the level of physical fitness?,ANALYTICS
What is the percentage of stroke cases in people with a history of anxiety disorders?,ANALYTICS
How does the prevalence of stroke vary by smoking status?,ANALYTICS
What is the percentage of stroke cases in people with a history of atrial fibrillation?,ANALYTICS
How does the incidence of stroke change with the level of alcohol consumption?,ANALYTICS
What is the percentage of stroke cases in people with a history of traumatic brain injury?,ANALYTICS
How does the prevalence of stroke vary with the level of income?,ANALYTICS
What is the percentage of stroke cases in people with a history of lupus?,ANALYTICS
How does the incidence of stroke change with the level of air pollution?,ANALYTICS
What is the percentage of stroke cases in people with a history of sickle cell disease?,ANALYTICS
How does the prevalence of stroke vary with the level of access to healthcare?,ANALYTICS
What is the percentage of stroke cases in people with a history of multiple sclerosis?,ANALYTICS
How does the incidence of stroke change with the level of noise pollution?,ANALYTICS
What is the percentage of stroke cases in people with a history of peripheral artery disease?,ANALYTICS
How does the prevalence of stroke vary with the level of social support?,ANALYTICS
What is the percentage of stroke cases in people with a history of lupus?,ANALYTICS
How does the incidence of stroke change with the level of air pollution?,ANALYTICS
Show me the age-wise percentage of people who suffer from diabetes.,ANALYTICS
What is the gender-wise distribution of diabetes cases?,ANALYTICS
What is the most common age range for diabetes cases?,ANALYTICS
How does the prevalence of diabetes differ across different races and ethnicities?,ANALYTICS
Is there a significant difference in the prevalence of diabetes between men and women?,ANALYTICS
What is the percentage of diabetes cases in people over the age of 65?,ANALYTICS
How does the incidence of diabetes change with age?,ANALYTICS
What is the prevalence of diabetes in people under the age of 50?,ANALYTICS
How does the prevalence of diabetes vary by geographic region?,ANALYTICS
What percentage of diabetes cases occur in people under the age of 40?,ANALYTICS
How does the incidence of diabetes differ between urban and rural areas?,ANALYTICS
What is the percentage of people who suffer from recurrent diabetes?,ANALYTICS
What is the average age of people who have diabetes?,ANALYTICS
What is the prevalence of diabetes in people with a family history of diabetes?,ANALYTICS
What is the percentage of diabetes cases in people with a history of smoking?,ANALYTICS
How does the prevalence of diabetes vary with socioeconomic status?,ANALYTICS
What is the percentage of diabetes cases in people with high blood pressure?,ANALYTICS
How does the prevalence of diabetes differ between people with and without obesity?,ANALYTICS
What is the percentage of diabetes cases in people with high cholesterol?,ANALYTICS
How does the prevalence of diabetes vary by occupation?,ANALYTICS
What is the percentage of diabetes cases in people with a history of heart disease?,ANALYTICS
How does the incidence of diabetes change with the level of physical activity?,ANALYTICS
What is the percentage of diabetes cases in people with a history of alcohol abuse?,ANALYTICS
How does the prevalence of diabetes vary with the level of education?,ANALYTICS
What is the percentage of diabetes cases in people with sleep apnea?,ANALYTICS
How does the prevalence of diabetes differ between people who are overweight and those who are not?,ANALYTICS
What is the percentage of diabetes cases in people with a history of kidney disease?,ANALYTICS
How does the incidence of diabetes change with the level of stress?,ANALYTICS
What is the percentage of diabetes cases in people with a history of drug abuse?,ANALYTICS
How does the prevalence of diabetes vary by marital status?,ANALYTICS
What is the percentage of diabetes cases in people with a history of depression?,ANALYTICS
How does the incidence of diabetes change with the level of physical fitness?,ANALYTICS
What is the percentage of diabetes cases in people with a history of anxiety disorders?,ANALYTICS
How does the prevalence of diabetes vary by smoking status?,ANALYTICS
What is the percentage of diabetes cases in people with a history of polycystic ovary syndrome (PCOS)?,ANALYTICS
How does the incidence of diabetes change with the level of alcohol consumption?,ANALYTICS
What is the percentage of diabetes cases in people with a history of thyroid disease?,ANALYTICS
How does the prevalence of diabetes vary with the level of income?,ANALYTICS
What is the percentage of diabetes cases in people with a history of gestational diabetes?,ANALYTICS
How does the incidence of diabetes change with the level of air pollution?,ANALYTICS
What is the percentage of diabetes cases in people with a history of liver disease?,ANALYTICS
How does the prevalence of diabetes vary with the level of access to healthcare?,ANALYTICS
What is the percentage of diabetes cases in people with a history of Cushing's syndrome?,ANALYTICS
How does the incidence of diabetes change with the level of noise pollution?,ANALYTICS
What is the percentage of diabetes cases in people with a history of adrenal gland disorders?,ANALYTICS
How does the prevalence of diabetes vary with the level of social support?,ANALYTICS
Show me the age-wise percentage of people who suffer from asthma.,ANALYTICS
What is the gender-wise distribution of asthma cases?,ANALYTICS
What is the most common age range for asthma cases?,ANALYTICS
How does the prevalence of asthma differ across different races and ethnicities?,ANALYTICS
Is there a significant difference in the prevalence of asthma between men and women?,ANALYTICS
What is the percentage of asthma cases in people over the age of 65?,ANALYTICS
How does the incidence of asthma change with age?,ANALYTICS
What is the prevalence of asthma in people under the age of 50?,ANALYTICS
How does the prevalence of asthma vary by geographic region?,ANALYTICS
What percentage of asthma cases occur in people under the age of 40?,ANALYTICS
How does the incidence of asthma differ between urban and rural areas?,ANALYTICS
What is the percentage of people who suffer from recurrent asthma?,ANALYTICS
What is the average age of people who have asthma?,ANALYTICS
What is the prevalence of asthma in people with a family history of asthma?,ANALYTICS
What is the percentage of asthma cases in people with a history of smoking?,ANALYTICS
How does the prevalence of asthma vary with socioeconomic status?,ANALYTICS
What is the percentage of asthma cases in people with a history of allergies?,ANALYTICS
How does the prevalence of asthma differ between people with and without obesity?,ANALYTICS
What is the percentage of asthma cases in people with a history of eczema?,ANALYTICS
How does the prevalence of asthma vary by occupation?,ANALYTICS
What is the percentage of asthma cases in people with a history of bronchitis?,ANALYTICS
How does the incidence of asthma change with the level of physical activity?,ANALYTICS
What is the percentage of asthma cases in people with a history of sinusitis?,ANALYTICS
How does the prevalence of asthma vary with the level of education?,ANALYTICS
What is the percentage of asthma cases in people with sleep apnea?,ANALYTICS
How does the prevalence of asthma differ between people who are overweight and those who are not?,ANALYTICS
What is the percentage of asthma cases in people with a history of acid reflux?,ANALYTICS
How does the incidence of asthma change with the level of stress?,ANALYTICS
What is the percentage of asthma cases in people with a history of pneumonia?,ANALYTICS
How does the prevalence of asthma vary by marital status?,ANALYTICS
What is the percentage of asthma cases in people with a history of depression?,ANALYTICS
How does the incidence of asthma change with the level of physical fitness?,ANALYTICS
What is the percentage of asthma cases in people with a history of anxiety disorders?,ANALYTICS
How does the prevalence of asthma vary by smoking status?,ANALYTICS
What is the percentage of asthma cases in people with a history of tuberculosis?,ANALYTICS
How does the incidence of asthma change with the level of air pollution?,ANALYTICS
What is the percentage of asthma cases in people with a history of COPD?,ANALYTICS
How does the prevalence of asthma vary with the level of access to healthcare?,ANALYTICS
What is the percentage of asthma cases in people with a history of cystic fibrosis?,ANALYTICS
How does the incidence of asthma change with the level of mold exposure?,ANALYTICS
Show me the age-wise percentage of people who suffer from chronic obstructive pulmonary disease (COPD).,ANALYTICS
What is the gender-wise distribution of COPD cases?,ANALYTICS
What is the most common age range for COPD cases?,ANALYTICS
How does the prevalence of COPD differ across different races and ethnicities?,ANALYTICS
Is there a significant difference in the prevalence of COPD between men and women?,ANALYTICS
What is the percentage of COPD cases in people over the age of 65?,ANALYTICS
Show me the age-wise percentage of people who suffer from diabetes.,ANALYTICS
What is the gender-wise distribution of diabetes cases?,ANALYTICS
What is the most common age range for diabetes cases?,ANALYTICS
How does the prevalence of diabetes differ across different races and ethnicities?,ANALYTICS
Is there a significant difference in the prevalence of diabetes between men and women?,ANALYTICS
What is the percentage of diabetes cases in people over the age of 50?,ANALYTICS
How does the incidence of diabetes change with age?,ANALYTICS
What is the prevalence of diabetes in people under the age of 30?,ANALYTICS
How does the prevalence of diabetes vary by geographic region?,ANALYTICS
What percentage of diabetes cases occur in people under the age of 40?,ANALYTICS
How does the incidence of diabetes differ between urban and rural areas?,ANALYTICS
What is the percentage of people who suffer from Type 1 diabetes?,ANALYTICS
What is the average age of people who have Type 2 diabetes?,ANALYTICS
What is the prevalence of diabetes in people with a family history of diabetes?,ANALYTICS
What is the percentage of diabetes cases in people with a history of smoking?,ANALYTICS
How does the prevalence of diabetes vary with socioeconomic status?,ANALYTICS
